Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-03-02 10:35:00+00:00,85836.1015625,85895.6875,85836.1015625,85895.6875,830640128
2025-03-02 10:40:00+00:00,85812.21875,85873.5546875,85812.21875,85873.5546875,898844672
2025-03-02 10:45:00+00:00,85850.890625,85865.6875,85839.984375,85839.984375,677005312
2025-03-02 10:50:00+00:00,85929.2890625,85929.2890625,85879.46875,85879.46875,34932736
2025-03-02 10:55:00+00:00,85953.0546875,85953.0546875,85886.484375,85910.6953125,24442880
2025-03-02 11:00:00+00:00,85954.609375,85954.9296875,85941.8671875,85954.9296875,578277376
2025-03-02 11:05:00+00:00,85974.6640625,85974.6640625,85943.015625,85943.015625,122091520
2025-03-02 11:10:00+00:00,86007.8515625,86007.8515625,85979.171875,85979.171875,589799424
2025-03-02 11:15:00+00:00,85970.5390625,86004.5859375,85966.2421875,86004.5859375,4319232
2025-03-02 11:20:00+00:00,85982.8125,85982.8125,85966.6953125,85977.1953125,0
2025-03-02 11:25:00+00:00,85970.6796875,85974.3984375,85951.4453125,85974.3984375,87463936
2025-03-02 11:30:00+00:00,86139.484375,86152.9375,86063.53125,86063.53125,699432960
2025-03-02 11:35:00+00:00,86099.2578125,86148.65625,86099.2578125,86148.65625,40245248
2025-03-02 11:40:00+00:00,86100.8984375,86118.6796875,86097.8515625,86097.8515625,183791616
2025-03-02 11:45:00+00:00,86062.671875,86124.828125,86054.5234375,86124.828125,619640832
2025-03-02 11:50:00+00:00,86054.3515625,86066.8515625,86054.3515625,86056.8046875,614490112
2025-03-02 11:55:00+00:00,86088.3046875,86088.3046875,86040.421875,86067.5390625,810002432
2025-03-02 12:00:00+00:00,85978.03125,86072.5078125,85978.03125,86072.5078125,96935936
2025-03-02 12:05:00+00:00,85931.734375,85949.1171875,85924.4140625,85949.1171875,26118144
2025-03-02 12:10:00+00:00,85810.296875,85913.796875,85810.296875,85913.796875,108687360
2025-03-02 12:15:00+00:00,85773.3828125,85783.140625,85719.671875,85783.140625,58339328
2025-03-02 12:20:00+00:00,85794.59375,85802.28125,85764.2265625,85764.2265625,618657792
2025-03-02 12:25:00+00:00,85846.5703125,85875.6171875,85815.4140625,85815.4140625,222072832
2025-03-02 12:30:00+00:00,85823.0,85823.0,85798.3515625,85821.8203125,138989568
2025-03-02 12:35:00+00:00,85798.2734375,85830.6796875,85798.2734375,85830.6796875,73492480
2025-03-02 12:40:00+00:00,85797.9453125,85805.40625,85793.5234375,85793.5234375,632307712
2025-03-02 12:45:00+00:00,85849.4921875,85849.4921875,85789.9375,85815.7109375,66709504
2025-03-02 12:50:00+00:00,85931.328125,85931.328125,85898.625,85906.59375,136058880
2025-03-02 12:55:00+00:00,85935.671875,85959.90625,85933.5703125,85959.90625,659501056
2025-03-02 13:00:00+00:00,85893.015625,85953.4140625,85878.9375,85953.4140625,601849856
2025-03-02 13:05:00+00:00,85898.1640625,85898.1640625,85880.7734375,85892.15625,114264064
2025-03-02 13:10:00+00:00,85868.15625,85887.8046875,85868.15625,85887.8046875,825589760
2025-03-02 13:15:00+00:00,85750.4375,85876.8046875,85750.4375,85876.8046875,762857472
2025-03-02 13:20:00+00:00,85669.1328125,85669.1328125,85624.8046875,85643.5546875,272666624
2025-03-02 13:25:00+00:00,85647.3984375,85675.4921875,85647.3984375,85673.2265625,643526656
2025-03-02 13:30:00+00:00,85557.4765625,85594.28125,85557.4765625,85594.28125,122564608
2025-03-02 13:35:00+00:00,85591.9296875,85591.9296875,85527.828125,85527.828125,33904640
2025-03-02 13:40:00+00:00,85662.5078125,85677.8828125,85582.4296875,85582.4296875,779937792
2025-03-02 13:45:00+00:00,85632.5234375,85653.921875,85623.453125,85653.921875,206508032
2025-03-02 13:50:00+00:00,85502.3125,85567.1484375,85502.3125,85567.1484375,0
